date,startup,vertical,subvertical,city,investors,round,amount,year,month,quarter,month_year,funding_range,investor_count
2017-11-07,Flickstree,Consumer Tech,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed,3.828,2017,11,4,2017-11,1-10Cr,4
2017-11-07,Design Cafe,Consumer Tech,Online Interior Design platform,Bengaluru,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed,0.0,2017,11,4,2017-11,,4
2017-12-07,Innoviti,Tech,Digital payments solutions,Bengaluru,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,152.625,2017,12,4,2017-12,100-500Cr,3
2017-12-07,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,0.0,2017,12,4,2017-12,,2
2017-12-07,Bottr.me,Tech,Chatbot creation tool,Bengaluru,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed,0.0,2017,12,4,2017-12,,4
2017-12-07,Arcatron,Tech,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed,0.0,2017,12,4,2017-12,,1
2017-07-14,QwikSpec,Tech,Construction site operations and analytics platform,Bengaluru,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed,4.455,2017,7,3,2017-07,1-10Cr,5
2017-07-14,Chumbak,eCommerce,Designer consumer products Marketplace,Bengaluru,Blacksoil Capital Pvt. Ltd,Private Equity,14.025,2017,7,3,2017-07,10-50Cr,1
2017-07-17,Increff,Tech,Sales Solutions for Fashion Brands,Bengaluru,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed,16.5,2017,7,3,2017-07,10-50Cr,5
2017-07-17,Vayana,Tech,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,33.0,2017,7,3,2017-07,10-50Cr,2
2017-07-18,MObiquest,Tech,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,0.0,2017,7,3,2017-07,,1
2017-07-18,Ambee,Consumer Tech,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed,0.0,2017,7,3,2017-07,,2
2017-07-18,Ideal Insurance,Consumer Tech,Online Insurance platform,Kolkata,Xelpmoc,Seed,0.0,2017,7,3,2017-07,,1
2017-07-18,Hypernova Interactive,Tech,Mobile games creator,Bengaluru,Kae Capital,Seed,0.0,2017,7,3,2017-07,,1
2017-07-19,Rentomojo,Consumer Tech,Consumer Leasing Platform,Bengaluru,"ain Capital Ventures, Renaud Laplanche",Private Equity,82.5,2017,7,3,2017-07,50-100Cr,2
2017-07-19,AirCTO,Consumer Tech,AI powered recruitment platform,Bengaluru,Francesco Cara,Seed,0.0,2017,7,3,2017-07,,1
2017-07-19,Playablo,Tech,Gamified Learning App,Bengaluru,ABI-Showatech (India) Ltd,Seed,4.95,2017,7,3,2017-07,1-10Cr,1
2017-07-20,Trupay,Tech,Online payments platform,Gurugram,"Kae Capital, M&S Partners,",Seed,5.775,2017,7,3,2017-07,1-10Cr,3
2017-07-21,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurugram,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed,1.65,2017,7,3,2017-07,1-10Cr,3
2017-07-21,FableStreet,eCommerce,Women Work wear etailer,Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed,0.0,2017,7,3,2017-07,,3
2017-07-21,Monsoon Fintech,Tech,Machine Learning Access platform,Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed,0.0,2017,7,3,2017-07,,4
