date,startup,vertical,subvertical,city,investors,round,amount,year,month,quarter,month_year,funding_range,investor_count
2020-09-01,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity,1650.0,2020,9,3,2020-09,>500Cr,1
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,66.3992505,2020,1,1,2020-01,50-100Cr,1
2020-09-01,Mamaearth,eCommerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,151.460595,2020,9,3,2020-09,100-500Cr,1
2020-02-01,https://www.wealthbucket.in/,Fintech,Online Investment,Delhi,Vinod Khatumal,Series A,24.75,2020,2,1,2020-02,10-50Cr,1
2020-02-01,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,14.85,2020,2,1,2020-02,10-50Cr,1
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,74.25,2020,1,1,2020-01,50-100Cr,1
2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity,1237.5,2020,10,4,2020-10,>500Cr,1
2019-12-12,Ecozen,Tech,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.5,2019,12,4,2019-12,10-50Cr,1
2019-06-12,CarDekho,eCommerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,577.5,2019,6,2,2019-06,>500Cr,1
2019-03-12,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,412.5,2019,3,1,2019-03,100-500Cr,2
2019-12-13,Rivigo,Tech,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,165.0,2019,12,4,2019-12,100-500Cr,2
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,99.0,2019,12,4,2019-12,50-100Cr,3
2019-12-16,Licious,eCommerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,247.5,2019,12,4,2019-12,100-500Cr,1
2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,16.5,2019,12,4,2019-12,10-50Cr,1
2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,412.5,2019,11,4,2019-11,100-500Cr,1
2019-12-20,Lenskart.com,eCommerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1905.75,2019,12,4,2019-12,>500Cr,1
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1237.5,2019,11,4,2019-11,>500Cr,3
2019-11-14,Misters,Health,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,4.0095,2019,11,4,2019-11,1-10Cr,2
2019-11-13,Sunstone Eduversity Pvt. Ltd,EdTech,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.375,2019,11,4,2019-11,10-50Cr,3
2019-11-17,Burger Singh,Food & Beverage,Indian Burger Brand,Gurugram,RB Investments,Venture,0.0,2019,11,4,2019-11,,1
2019-11-18,Healthians,Health,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,99.0,2019,11,4,2019-11,50-100Cr,2
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt,214.5,2019,11,4,2019-11,100-500Cr,1
2019-11-20,Aye Finance,Fintech,Financial Services To MSMEs,Gurugram,FinTech,Debt,143.64293625,2019,11,4,2019-11,100-500Cr,1
2019-12-11,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed,10.725,2019,12,4,2019-12,10-50Cr,1
2019-11-20,Clumio,SaaS,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,1113.75,2019,11,4,2019-11,>500Cr,2
2019-11-11,eBikeGo,Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.475,2019,11,4,2019-11,1-10Cr,1
2019-11-19,Digital Mall Asia,eCommerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed,1815.0,2019,11,4,2019-11,>500Cr,1
2019-11-18,Medikabazaar,Health,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,130.35,2019,11,4,2019-11,100-500Cr,4
2019-11-15,Vogo Automotive,Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2334.75,2019,11,4,2019-11,>500Cr,3
2019-11-25,Paytm,Fintech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8250.0,2019,11,4,2019-11,>500Cr,1
2019-04-10,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,371.25,2019,4,2,2019-04,100-500Cr,1
2019-02-10,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,4826.25,2019,2,1,2019-02,>500Cr,2
2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurugram,Ayushmann Khurana,Corporate Round,0.0,2019,10,4,2019-10,,1
2019-05-09,FPL Technologies,Fintech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,37.125,2019,5,2,2019-05,10-50Cr,2
2019-04-09,Cashflo,Fintech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,27.225,2019,4,2,2019-04,10-50Cr,1
2019-04-09,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity,49.5,2019,4,2,2019-04,10-50Cr,1
2019-04-09,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Series A,41.25,2019,4,2,2019-04,10-50Cr,1
2019-04-09,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,148.5,2019,4,2,2019-04,100-500Cr,1
2019-04-09,Myelin Foundry,Tech,Deep-technology,Bengaluru,Endiya Partners,Seed,8.25,2019,4,2,2019-04,1-10Cr,1
2019-04-09,Atomberg Technology,Tech,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,82.5,2019,4,2,2019-04,50-100Cr,1
2019-04-09,GOQii,Health,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3712.5,2019,4,2,2019-04,>500Cr,1
2019-03-09,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,41.25,2019,3,1,2019-03,10-50Cr,2
2019-01-08,CarDekho,eCommerce,Automotive,Gurugram,SC GG India Mobility Holdings LLC,Series C,165.0,2019,1,1,2019-01,100-500Cr,1
2019-01-08,Progcap,Unknown,Supply Chain Management,Delhi,Sequoia India,Series A,41.25,2019,1,1,2019-01,10-50Cr,1
2019-01-08,Alteria Capital,Unknown,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1155.0,2019,1,1,2019-01,>500Cr,2
2019-01-08,Pine Labs,Tech,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,314.16,2019,1,1,2019-01,100-500Cr,1
2019-12-08,Meesho,eCommerce,Social Commerce,Bengaluru,Naspers,Series D,1031.25,2019,12,4,2019-12,>500Cr,1
2019-08-13,Cars24,eCommerce,Car Retail,Gurugram,MS Dhoni,Series D,90.75,2019,8,3,2019-08,50-100Cr,1
2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,420.75,2019,8,3,2019-08,100-500Cr,1
2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,305.25,2019,8,3,2019-08,100-500Cr,1
2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,4.125,2019,8,3,2019-08,1-10Cr,5
2019-08-23,Tala,Fintech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,907.5,2019,8,3,2019-08,>500Cr,1
2019-08-22,INDwealth,Fintech,Wealth Management,Gurugram,Tiger Global Management,Venture Round,123.75,2019,8,3,2019-08,100-500Cr,1
2019-08-21,HungerBox,Food & Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,54.3675,2019,8,3,2019-08,50-100Cr,1
2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,8.25,2019,8,3,2019-08,1-10Cr,1
2019-08-19,Mishry Reviews,Services,Product Review,Gurugram,Vir Sanghvi,Series A,0.0,2019,8,3,2019-08,,1
2019-08-19,Grofers,eCommerce,Grocery Delivery,Gurugram,Softbank Vision Fund,Series F,577.5,2019,8,3,2019-08,>500Cr,1
2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,32175.0,2019,8,3,2019-08,>500Cr,1
2019-02-07,RenewBuy,Unknown,Auto Insurance,Gurugram,"Lok Capital, IIFL Wealth",Series B,156.75,2019,2,1,2019-02,100-500Cr,2
2019-02-07,Atlan,Tech,Big Data,Singapore,WaterBridge Ventures,Series A,20.625,2019,2,1,2019-02,10-50Cr,1
2019-01-07,WizCounsel,Compliance,Consulting,Delhi,Kapil Dev,Angel,1.19625,2019,1,1,2019-01,1-10Cr,1
2019-03-07,Ola Cabs,Transportation,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.25,2019,3,1,2019-03,1-10Cr,3
2019-01-07,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,314.16,2019,1,1,2019-01,100-500Cr,1
2019-04-07,Daalchini Technologies,Food & Beverage,Digital Vending Machine,Delhi,Artha Venture,Seed Round,4.125,2019,4,2,2019-04,1-10Cr,1
2019-10-07,BYJU\\S,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity,1237.5,2019,10,4,2019-10,>500Cr,1
2019-11-07,Moglix,eCommerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,495.0,2019,11,4,2019-11,100-500Cr,3
2019-10-07,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,132.0,2019,10,4,2019-10,100-500Cr,1
2019-10-07,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,47.4375,2019,10,4,2019-10,10-50Cr,1
2019-10-07,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,20.625,2019,10,4,2019-10,10-50Cr,1
2019-09-07,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.25,2019,9,3,2019-09,1-10Cr,1
2019-08-07,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel,2.63674125,2019,8,3,2019-08,1-10Cr,1
2019-05-06,NoBroker,eCommerce,Real Estate,Bengaluru,General Atlantic,Series C,420.75,2019,5,2,2019-05,100-500Cr,1
2019-04-06,Bira91,Food & Beverage,Brewery,Delhi,Anicut Capital,Debt,82.5,2019,4,2,2019-04,50-100Cr,1
2019-03-06,Avail Finance,Unknown,FinTech,Bengaluru,Matrix Partners,Series A,74.25,2019,3,1,2019-03,50-100Cr,1
2019-04-06,BharatPe,Unknown,FinTech,Delhi,Insight Partners,Series B,618.75,2019,4,2,2019-04,>500Cr,1
2019-04-06,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Series A,214.5,2019,4,2,2019-04,100-500Cr,2
2019-03-06,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,Series A,20.625,2019,3,1,2019-03,10-50Cr,1
2019-06-06,Chakr Innovation,Energy,Renewable Energy,Delhi,IAN Fund,Series A,214.5,2019,6,2,2019-06,100-500Cr,1
2019-10-06,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed,3.54915,2019,10,4,2019-10,1-10Cr,1
2019-10-06,OkCredit,Fintech,Financial Services,Haryana,Tiger Global Management,Series A,127.875,2019,10,4,2019-10,100-500Cr,1
2019-06-06,Biz2Credit,Fintech,Online Lending Platform,New York,WestBridge Capital,Series B,429.0,2019,6,2,2019-06,100-500Cr,1
2019-08-06,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt,29.568,2019,8,3,2019-08,10-50Cr,1
2019-04-06,Leegality,Services,Digital Documentation,Mumbai,Mumbai Angels,Series A,28.05,2019,4,2,2019-04,10-50Cr,1
2019-06-05,Ola Electric,Transportation,Cabs,Bengaluru,Tata Sons,Series A,0.0,2019,6,2,2019-06,,1
2019-06-05,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,7.16595,2019,6,2,2019-06,1-10Cr,1
2019-05-05,StyleDotMe,eCommerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge,0.0,2019,5,2,2019-05,,4
2019-01-05,BlackBuck,Transportation,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1237.5,2019,1,1,2019-01,>500Cr,7
2019-02-05,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,412.5,2019,2,1,2019-02,100-500Cr,1
2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,420.75,2019,5,2,2019-05,100-500Cr,1
2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1155.0,2019,5,2,2019-05,>500Cr,1
2019-05-30,GlowRoad,eCommerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,94.875,2019,5,2,2019-05,50-100Cr,2
2019-05-31,Bira91,Food & Beverage,Brewery,Delhi,Sixth Sense Ventures,Series B,46.2,2019,5,2,2019-05,10-50Cr,1
2019-04-16,Kuvera,Unknown,Wealth Management,Bengaluru,Eight Roads,Series A,371.25,2019,4,2,2019-04,100-500Cr,1
2019-12-04,Medlife,eCommerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,140.25,2019,12,4,2019-12,100-500Cr,1
2019-10-04,Kabadiwala,eCommerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,3.55298625,2019,10,4,2019-10,1-10Cr,5
2019-04-13,Tripoto,Social Media,Travel,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,29.62884375,2019,4,2,2019-04,10-50Cr,5
2019-12-04,Azah,Health,Organic wellness,Gurugram,Unnamed angel investors,Seed,1.65,2019,12,4,2019-12,1-10Cr,1
2019-11-04,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed,28.875,2019,11,4,2019-11,10-50Cr,1
2019-10-04,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt,52.146765,2019,10,4,2019-10,50-100Cr,1
2019-10-04,Craftsvilla,eCommerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,20.15883375,2019,10,4,2019-10,10-50Cr,1
2019-10-04,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed,2.53275,2019,10,4,2019-10,1-10Cr,1
2019-11-04,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,214.5,2019,11,4,2019-11,100-500Cr,3
2019-04-19,My Healthcare,eCommerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,24.75,2019,4,2,2019-04,10-50Cr,1
2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,41.25,2019,4,2,2019-04,10-50Cr,1
2019-04-17,Increff,Tech,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,24.75,2019,4,2,2019-04,10-50Cr,2
2019-01-02,FleetX,AI,Logistics,Gurugram,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Series A,0.0,2019,1,1,2019-01,,1
2019-08-02,Zilingo,eCommerce,Fashion & Apparel,India,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1864.5,2019,8,3,2019-08,>500Cr,4
2019-02-13,NanoClean Global,Tech,Anti-Pollution,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,4.95,2019,2,1,2019-02,1-10Cr,4
2018-02-14,OyoRooms,Hospitality,Budget Rooms,Gurugram,DiDi Chuxing,Equity,825.0,2018,2,1,2018-02,>500Cr,1
2019-03-01,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,907.5,2019,3,1,2019-03,>500Cr,3
2019-04-01,Vyome Therapeutics Inc.,Health,Specialty pharmaceutical,India,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,181.5,2019,4,2,2019-04,100-500Cr,3
2019-04-01,Samunnati Financial Intermediation & Services Pvt. Ltd,Unknown,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt,41.25,2019,4,2,2019-04,10-50Cr,2
2018-04-12,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed,5.775,2018,4,2,2018-04,1-10Cr,1
2018-01-12,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,Delhi,Steadview Capital and Vy Capital.,Series D,412.5,2018,1,1,2018-01,100-500Cr,1
2018-02-12,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Series A,6.6,2018,2,1,2018-02,1-10Cr,1
2018-02-12,Career Anna,EdTech,"Video-based certification, trainings",Gurugram,Individual Investors,Series A,4.719,2018,2,1,2018-02,1-10Cr,1
2018-04-12,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed,1.17975,2018,4,2,2018-04,1-10Cr,1
2018-06-12,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed,16.5,2018,6,2,2018-06,10-50Cr,3
2018-06-12,BuildSupply,eCommerce,"Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,28.875,2018,6,2,2018-06,10-50Cr,4
2018-01-11,GoDesi,Food & Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed,1.14670875,2018,1,1,2018-01,1-10Cr,1
2018-03-11,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,229.34175,2018,3,1,2018-03,100-500Cr,3
2018-06-11,Meesho,eCommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,412.5,2018,6,2,2018-06,100-500Cr,2
2018-08-11,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,4.125,2018,8,3,2018-08,1-10Cr,1
2018-08-11,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,8.25,2018,8,3,2018-08,1-10Cr,2
2018-12-11,Blackbuck,Food Tech,POS For Online Ordering,New York Bengaluru,Tiger Global,Series A,8.25,2018,12,4,2018-12,1-10Cr,1
2018-12-11,MilkBAsket,Food,Micro-delivery grocery service,Delhi,Mayfield Fund,Series B,10.725,2018,12,4,2018-12,10-50Cr,1
2018-11-13,DriveU,Transportation,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,8.25,2018,11,4,2018-11,1-10Cr,1
2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed,4.125,2018,11,4,2018-11,1-10Cr,1
2018-11-19,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,2475.0,2018,11,4,2018-11,>500Cr,1
2018-11-20,HealthifyMe,Health,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B,49.5,2018,11,4,2018-11,10-50Cr,5
2018-11-21,Genius Corner,EdTech,Personalized Learning,Noida,Individual investors,Seed,2.2935,2018,11,4,2018-11,1-10Cr,1
2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,255.75,2018,11,4,2018-11,100-500Cr,1
2018-11-22,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed,0.0,2018,11,4,2018-11,,1
2018-11-23,Signzy,Unknown,Digital Onboarding Solution,Mumbai,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,28.05,2018,11,4,2018-11,10-50Cr,4
2018-11-24,Engineer.ai,Software,AI Platform,India,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,243.375,2018,11,4,2018-11,100-500Cr,2
2018-11-25,InCred Finance,Unknown,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,346.5,2018,11,4,2018-11,100-500Cr,2
2018-11-25,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,14.025,2018,11,4,2018-11,10-50Cr,1
2018-01-10,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed,0.0,2018,1,1,2018-01,,1
2018-02-10,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed,90.75,2018,2,1,2018-02,50-100Cr,2
2018-04-10,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,67.65,2018,4,2,2018-04,50-100Cr,1
2018-05-10,Droom,Automobile,New and Used Cars Platform,Gurugram,ZigExN,Series E,24.75,2018,5,2,2018-05,10-50Cr,1
2018-11-10,Innov8,Real Estate,Co-Working,Delhi,Credence Family Office,Series A,33.0,2018,11,4,2018-11,10-50Cr,1
2018-12-10,Blackbuck,Logistics,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,121.11,2018,12,4,2018-12,100-500Cr,1
2018-12-10,LetsTransport,Logistics,Book Trucks Online,Bengaluru,Fosun International,Series C,99.0,2018,12,4,2018-12,50-100Cr,1
2018-01-09,Netmeds,Consumer Tech,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,288.75,2018,1,1,2018-01,100-500Cr,2
2018-03-09,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,1856.25,2018,3,1,2018-03,>500Cr,1
2018-03-09,Daily hunt,Consumer Tech,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,52.7175,2018,3,1,2018-03,50-100Cr,1
2018-04-09,HappyGoEasy,Consumer Tech,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0.0,2018,4,2,2018-04,,2
2018-05-09,Nykaa,Consumer Tech,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,1296.9,2018,5,2,2018-05,>500Cr,1
2018-05-09,Mad Street Den,Tech,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,0.0,2018,5,2,2018-05,,1
2018-06-09,Dream11,Consumer Tech,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,825.0,2018,6,2,2018-06,>500Cr,2
2018-10-09,MamaEarth,Health,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,33.0,2018,10,4,2018-10,10-50Cr,1
2018-11-09,AutoGrid,Tech,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,264.0,2018,11,4,2018-11,100-500Cr,4
2018-11-09,Pharmeasy,Consumer Tech,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt,45.375,2018,11,4,2018-11,10-50Cr,1
2018-11-09,Upwards,Fintech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,41.25,2018,11,4,2018-11,10-50Cr,3
2018-12-09,Kissht,Fintech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,247.5,2018,12,4,2018-12,100-500Cr,4
2018-01-08,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed,3.3,2018,1,1,2018-01,1-10Cr,5
2018-01-08,HealthFin,Unknown,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed,0.0,2018,1,1,2018-01,,2
2018-02-08,Samosa Labs,Consumer Tech,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,57.75,2018,2,1,2018-02,50-100Cr,1
2018-03-08,ZiffyHomes,Consumer Tech,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,0.99,2018,3,1,2018-03,<1Cr,1
2018-07-08,ShopX,Consumer Tech,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,288.75,2018,7,3,2018-07,100-500Cr,1
2018-07-08,MakeMyTrip,Consumer Tech,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,82.5,2018,7,3,2018-07,50-100Cr,1
2018-08-08,Hansel io,Consumer Tech,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed,33.0,2018,8,3,2018-08,10-50Cr,1
2018-08-08,Metro Bikes,Consumer Tech,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,100.65,2018,8,3,2018-08,100-500Cr,2
2018-08-08,Phone Pe,Consumer Tech,UPI Payments App,Bengaluru,Flipkart,Private Equity,544.5,2018,8,3,2018-08,>500Cr,1
2018-09-08,quizizz,EdTech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed,24.75,2018,9,3,2018-09,10-50Cr,2
2018-09-08,Happy EMI,Fintech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed,8.25,2018,9,3,2018-09,1-10Cr,1
2018-08-13,Inthree,Consumer Tech,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed,33.0,2018,8,3,2018-08,10-50Cr,2
2018-08-13,Observe AI,Tech,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,66.0,2018,8,3,2018-08,50-100Cr,5
